payload_id,tag,model_family,input_mode,target_mode,next_frame_mean_mae_ratio,next_frame_particles_better,rollout_complete_particles,rollout_diverged_particles,rollout_mean_mae_ratio_h32,rollout_particles_better_h32,rollout_mean_mae_ratio_h128,rollout_particles_better_h128,rollout_mean_mae_ratio_h256,rollout_particles_better_h256,rollout_mean_mae_ratio_h512,rollout_particles_better_h512
0,fresh_unet_image_delta_s1337,unet,image_only,delta,0.8228941351818848,4,4,0,1.4452814715598,0,90.11869397791014,0,1404578.6004661026,0,158528758705199.56,0
1,fresh_unet_image_direct_s1337,unet,image_only,direct,1.1771106968224248,1,4,0,5.462514650326951,0,30.478660408393342,0,610.088573735712,0,26806632239.33351,0
2,fresh_unet_protocol_delta_s1337,unet,protocol_conditioned,delta,0.8314625962457265,4,4,0,1.552296003014321,0,4.569009256983661,0,6.8444661370081645,0,5.758970925235293,0
3,fresh_unet_protocol_direct_s1337,unet,protocol_conditioned,direct,1.8382957129475697,0,4,0,11.643817507920167,0,23.30750264254264,0,24.004902837415077,0,16.16819406183341,0
4,fresh_convlstm_image_delta_s1337,convlstm,image_only,delta,0.8262102370502735,4,4,0,1.3326877676339113,0,2.737668249234348,0,3.5759390282911387,0,2.913873401613486,0
5,fresh_convlstm_image_direct_s1337,convlstm,image_only,direct,0.859593065557419,4,4,0,1.4719539656243321,0,5.072921597591174,0,13.089904608366195,0,13.615123244970286,0
6,fresh_convlstm_protocol_delta_s1337,convlstm,protocol_conditioned,delta,0.8545620804018408,4,4,0,1.6627946796266015,0,3.300654955047979,0,4.768570083563967,0,4.53032245088617,0
7,fresh_convlstm_protocol_direct_s1337,convlstm,protocol_conditioned,direct,0.8777083590141764,4,4,0,2.8925678841027453,0,9.363760078643521,0,12.973621622791324,0,9.998605124181353,0
8,fresh_simvp_image_delta_s1337,simvp,image_only,delta,0.9046247919260813,3,4,0,1.475804883299677,0,3.5295501443989137,0,5.209453393348441,0,5.809524657066167,0
9,fresh_simvp_image_direct_s1337,simvp,image_only,direct,1.3200886918419696,2,4,0,5.254077889812135,0,18690.444705004087,0,685651489.1454196,0,7.140272399793669e+18,0
10,fresh_simvp_protocol_delta_s1337,simvp,protocol_conditioned,delta,1.0003281628651564,0,4,0,1.0164129945665796,0,1.2268211480070037,0,1.4929396116389164,0,1.3960222614883635,0
11,fresh_simvp_protocol_direct_s1337,simvp,protocol_conditioned,direct,3.0055867622927055,0,2,2,inf,0,inf,0,inf,0,inf,0
12,fresh_residual_cnn_image_delta_s1337,residual_cnn,image_only,delta,0.8241749833161075,4,4,0,1.1974229102248723,1,2.4451242763902865,0,3983.895183785329,0,1.7477091706215302e+22,0
13,fresh_residual_cnn_image_direct_s1337,residual_cnn,image_only,direct,0.9177454249988108,3,1,3,3232529170.1517854,0,inf,0,inf,0,inf,0
14,fresh_residual_cnn_protocol_delta_s1337,residual_cnn,protocol_conditioned,delta,1.0231028088804688,1,4,0,2.162647261835276,0,5.7086421046589795,0,8.613557510718207,0,8.438909235660965,0
15,fresh_residual_cnn_protocol_direct_s1337,residual_cnn,protocol_conditioned,direct,1.0321879749437488,2,4,0,2.887712379137197,0,6.519381908734141,0,8.460968422145738,0,6.81280924178583,0
16,fresh_predrnn_image_delta_s1337,predrnn,image_only,delta,0.8233379347649836,4,4,0,1.2498470886280026,0,2.815394633699665,0,4.114773040956206,0,3.641026038134747,0
17,fresh_predrnn_image_direct_s1337,predrnn,image_only,direct,0.8231748365194177,4,4,0,1.2719551963762008,0,2.2959979868358946,0,2.9751763426250237,0,2.6178046084433726,0
18,fresh_predrnn_protocol_delta_s1337,predrnn,protocol_conditioned,delta,0.8243586199678374,4,4,0,1.8418993751629824,0,2.734077006882473,0,3.519727440863679,0,3.3706852476360307,0
19,fresh_predrnn_protocol_direct_s1337,predrnn,protocol_conditioned,direct,0.8398534958248748,4,4,0,1.3030379670451937,0,2.9640720043179067,0,4.239127467863687,0,4.064973712821418,0
20,fresh_predrnnpp_image_delta_s1337,predrnnpp,image_only,delta,0.8114515391966988,4,4,0,1.2188664184981952,0,3.260750015265585,0,6.097843154593991,0,7.229135180032724,0
21,fresh_predrnnpp_image_direct_s1337,predrnnpp,image_only,direct,5.3902897297074785,0,4,0,6.092998072586712,0,9.420134029595415,0,10.179619859752744,0,6.96001538776893,0
22,fresh_predrnnpp_protocol_delta_s1337,predrnnpp,protocol_conditioned,delta,0.8233051246778393,4,4,0,1.241586844492384,0,2.376646364108727,0,3.8740172380490283,0,3.781190361520075,0
23,fresh_predrnnpp_protocol_direct_s1337,predrnnpp,protocol_conditioned,direct,1.5887585234719983,0,4,0,6.237085389424387,0,12.650286142596297,0,14.074546099204094,0,9.463897493942305,0
