active_fields,context_len,first_step_mae_ratio,is_smoke,last_step_mae_ratio,mae_ratio,mode,model_family,model_mae,model_rmse,naive_mae,naive_rmse,nonreversal_count,nonreversal_mae_ratio,prediction_form,reversal_count,reversal_mae_ratio,rmse_ratio,role,sequence_subsample_factor,stem,tag,window_stride
intensity,4,,false,,0.8839724161373921,next_frame,convlstm,0.009513300843536854,0.027619115282986804,0.0107619883492589,0.028179025914321157,2989,0.8840809327941369,direct_next_frame,11,0.8573437183730472,0.9801302346987872,test,1,GRA29_C20_45deg_particle2,image_only_direct,1
intensity,4,,false,,0.8413419075904219,next_frame,convlstm,0.01086241751909256,0.03626449534593316,0.01291082426905632,0.037369581270677875,2989,0.8413492279293232,direct_next_frame,11,0.8394732821211575,0.9704281962181945,test,1,GRA29_C20_45deg_particle3,image_only_direct,1
intensity,4,,false,,0.8739413009168846,next_frame,convlstm,0.012920252047479153,0.041766773173308715,0.01478388998657465,0.04022971706140014,2989,0.8738744443898339,direct_next_frame,11,0.8909485317666405,1.0382069829017853,test,1,GRA29_C20_45deg_particle4,image_only_direct,1
intensity,4,,false,,0.8107341130288944,next_frame,convlstm,0.008093282580375671,0.012014589945410395,0.009982659481465816,0.014005393854705325,2989,0.8107358595845717,direct_next_frame,11,0.8103335115960131,0.8578544859253573,train,1,GRA29_C20_25deg_particle1,image_only_direct,1
intensity,4,,false,,0.8138843196013578,next_frame,convlstm,0.00888559315353632,0.013590726188966371,0.010917513631284237,0.01588178461046949,2989,0.8138757693365168,direct_next_frame,11,0.8158390126795179,0.8557430113998132,train,1,GRA29_C20_25deg_particle2,image_only_direct,1
intensity,4,,false,,0.8137033270057223,next_frame,convlstm,0.009938020259141922,0.015126538795087983,0.012213321402668953,0.01765184870072381,2989,0.8137570893111045,direct_next_frame,11,0.8020047142810477,0.8569379361645969,train,1,GRA29_C20_25deg_particle3,image_only_direct,1
intensity,4,,false,,0.8446169353355356,next_frame,convlstm,0.011225947178900242,0.01669140916854892,0.01329116988927126,0.018904409607165787,2989,0.8446373954004968,direct_next_frame,11,0.8399242633795059,0.8829373418899037,train,1,GRA29_C20_25deg_particle4,image_only_direct,1
intensity,4,0.7905945777893066,false,24.332975387573242,5.515486518771403,rollout,convlstm,1.9422870874404907,2.4767975800913935,0.3521515429019928,0.7988000319188149,5672,5.529701897322546,direct_next_frame,11,2.4976776376080347,3.1006478231376935,test,1,GRA29_C20_45deg_particle1,image_only_direct,
intensity,4,0.814344584941864,false,11.498807907104492,4.150254033857359,rollout,convlstm,1.652489185333252,2.2480329816374005,0.3981657922267914,0.8105121651077161,5672,4.1590383565320055,direct_next_frame,11,2.2295634052053384,2.773595608325804,test,1,GRA29_C20_45deg_particle2,image_only_direct,
intensity,4,0.7878698706626892,false,7.372686862945557,4.668332024492214,rollout,convlstm,1.7248615026474,2.290129116866061,0.36948132514953613,0.7946133401449436,5672,4.678466738344131,direct_next_frame,11,2.3619996572110846,2.8820672913046286,test,1,GRA29_C20_45deg_particle3,image_only_direct,
intensity,4,0.8155970573425293,false,5.96101713180542,5.4786000839965,rollout,convlstm,1.6122134923934937,2.2288881169439625,0.2942747175693512,0.7258944978429002,5672,5.490798974034827,direct_next_frame,11,2.9030626049678796,3.070540035180627,test,1,GRA29_C20_45deg_particle4,image_only_direct,
intensity,4,0.7518841028213501,false,91.531494140625,5.480669277660668,rollout,convlstm,1.9280569553375244,2.4797379506008093,0.35179224610328674,0.8120804216839295,5318,5.495664970720284,direct_next_frame,11,2.5073943009261517,3.0535620418712055,train,1,GRA29_C20_25deg_particle1,image_only_direct,
intensity,4,0.7761783003807068,false,110.488037109375,5.343538779868625,rollout,convlstm,1.660037636756897,2.2620215863817656,0.3106625974178314,0.7920822675585077,5318,5.356769718521478,direct_next_frame,11,2.7463557493783015,2.8557912214777357,train,1,GRA29_C20_25deg_particle2,image_only_direct,
intensity,4,0.7663042545318604,false,93.5619125366211,5.557758660227549,rollout,convlstm,1.8237682580947876,2.393202943765448,0.32814815640449524,0.7953347673277972,5318,5.572200546558288,direct_next_frame,11,2.679029328340325,3.0090510839935276,train,1,GRA29_C20_25deg_particle3,image_only_direct,
intensity,4,0.8097406029701233,false,90.7638931274414,5.022630880504021,rollout,convlstm,1.5145219564437866,2.1279027971281677,0.3015395700931549,0.7407127585909675,5318,5.034822449750215,direct_next_frame,11,2.6422084920814135,2.8727772978772554,train,1,GRA29_C20_25deg_particle4,image_only_direct,
"intensity,voltage,current,time_norm",4,,false,,0.8173837176954138,next_frame,convlstm,0.008359665982425213,0.019286514828366814,0.010227345861494541,0.0214251853006726,2989,0.8172647370754403,delta_from_last_frame,11,0.8471586407660695,0.9001796044098322,test,1,GRA29_C20_45deg_particle1,multichannel_delta,1
"intensity,voltage,current,time_norm",4,,false,,0.839902256889021,next_frame,convlstm,0.009039018303155899,0.02592503848850399,0.0107619883492589,0.028179025914321157,2989,0.8396973045487947,delta_from_last_frame,11,0.8901068098954478,0.9200118757592809,test,1,GRA29_C20_45deg_particle2,multichannel_delta,1
"intensity,voltage,current,time_norm",4,,false,,0.8098919763639506,next_frame,convlstm,0.010456372983753681,0.03444449670004657,0.01291082426905632,0.037369581270677875,2989,0.8097935168961544,delta_from_last_frame,11,0.8358526171956573,0.9217255192279481,test,1,GRA29_C20_45deg_particle3,multichannel_delta,1
"intensity,voltage,current,time_norm",4,,false,,0.8323853834436148,next_frame,convlstm,0.012305893935263157,0.03684487001421019,0.01478388998657465,0.04022971706140014,2989,0.8321015076301486,delta_from_last_frame,11,0.904446468411022,0.9158620220464423,test,1,GRA29_C20_45deg_particle4,multichannel_delta,1
"intensity,voltage,current,time_norm",4,,false,,0.7838977109282486,next_frame,convlstm,0.00782538391649723,0.011181721025910816,0.009982659481465816,0.014005393854705325,2989,0.7838434474434371,delta_from_last_frame,11,0.7955226271107445,0.7983867602662346,train,1,GRA29_C20_25deg_particle1,multichannel_delta,1
"intensity,voltage,current,time_norm",4,,false,,0.7878599534863923,next_frame,convlstm,0.008601471781730652,0.012471119945403978,0.010917513631284237,0.01588178461046949,2989,0.7876689685054203,delta_from_last_frame,11,0.8320738366879025,0.7852467623306543,train,1,GRA29_C20_25deg_particle2,multichannel_delta,1
"intensity,voltage,current,time_norm",4,,false,,0.7947936983765537,next_frame,convlstm,0.009707070887088776,0.01451438421584965,0.012213321402668953,0.01765184870072381,2989,0.7947620440723945,delta_from_last_frame,11,0.8016626068246255,0.8222585895637374,train,1,GRA29_C20_25deg_particle3,multichannel_delta,1
"intensity,voltage,current,time_norm",4,,false,,0.8181008227360045,next_frame,convlstm,0.010873517021536827,0.015934624726666104,0.01329116988927126,0.018904409607165787,2989,0.8179957423952813,delta_from_last_frame,11,0.842191456313434,0.8429051770347816,train,1,GRA29_C20_25deg_particle4,multichannel_delta,1
"intensity,voltage,current,time_norm",4,0.8307685852050781,false,5.427114009857178,1.4158877037502184,rollout,convlstm,0.4986070394515991,0.9647799945724652,0.3521515429019928,0.7988000319188149,5672,1.4177617850076776,delta_from_last_frame,11,1.018022323276507,1.2077866249641307,test,1,GRA29_C20_45deg_particle1,multichannel_delta,
"intensity,voltage,current,time_norm",4,0.9483274221420288,false,3.087662935256958,1.5025274645408346,rollout,convlstm,0.5982550382614136,1.1353762849865354,0.3981657922267914,0.8105121651077161,5672,1.5033516975520345,delta_from_last_frame,11,1.3223088312791975,1.4008133793224995,test,1,GRA29_C20_45deg_particle2,multichannel_delta,
"intensity,voltage,current,time_norm",4,0.8686323165893555,false,2.391397476196289,1.5137318620109348,rollout,convlstm,0.559295654296875,1.1351997214891605,0.36948132514953613,0.7946133401449436,5672,1.5139837762692825,delta_from_last_frame,11,1.456441001580384,1.428619007682518,test,1,GRA29_C20_45deg_particle3,multichannel_delta,
"intensity,voltage,current,time_norm",4,0.9131348133087158,false,0.565690815448761,1.7540123924712643,rollout,convlstm,0.5161615014076233,1.0886010635938466,0.2942747175693512,0.7258944978429002,5672,1.7550957028568273,delta_from_last_frame,11,1.5252474202784598,1.4996684322980558,test,1,GRA29_C20_45deg_particle4,multichannel_delta,
"intensity,voltage,current,time_norm",4,0.7482861876487732,false,17.810514450073242,1.5772522788308456,rollout,convlstm,0.5548651218414307,1.0835879038987881,0.35179224610328674,0.8120804216839295,5318,1.5788360165992026,delta_from_last_frame,11,1.2633808372300466,1.3343357073574817,train,1,GRA29_C20_25deg_particle1,multichannel_delta,
"intensity,voltage,current,time_norm",4,0.7590598464012146,false,23.36465835571289,1.8347384576923471,rollout,convlstm,0.5699846148490906,1.1528385457844843,0.3106625974178314,0.7920822675585077,5318,1.8366517591289064,delta_from_last_frame,11,1.4591832755701992,1.455453041939648,train,1,GRA29_C20_25deg_particle2,multichannel_delta,
"intensity,voltage,current,time_norm",4,0.7571942806243896,false,20.670902252197266,1.7417837446331224,rollout,convlstm,0.5715631246566772,1.1450336382226671,0.32814815640449524,0.7953347673277972,5318,1.7431975791268002,delta_from_last_frame,11,1.4599640258891637,1.4396876450778135,train,1,GRA29_C20_25deg_particle3,multichannel_delta,
"intensity,voltage,current,time_norm",4,0.7709475159645081,false,22.28813934326172,1.700643280003566,rollout,convlstm,0.5128112435340881,1.1057871976560132,0.3015395700931549,0.7407127585909675,5318,1.7023908481760701,delta_from_last_frame,11,1.3593212548665394,1.492869111313155,train,1,GRA29_C20_25deg_particle4,multichannel_delta,
"intensity,voltage,current,time_norm",4,,false,,0.8595843984931424,next_frame,convlstm,0.008791266940534115,0.019793629330043885,0.010227345861494541,0.0214251853006726,2989,0.858998055312066,direct_next_frame,11,1.0064500171111594,0.9238486879934944,test,1,GRA29_C20_45deg_particle1,multichannel_direct,1
"intensity,voltage,current,time_norm",4,,false,,0.8743787966991233,next_frame,convlstm,0.009410054422914982,0.02563883998826195,0.0107619883492589,0.028179025914321157,2989,0.8736027203148191,direct_next_frame,11,1.0646802066123031,0.9098554388010897,test,1,GRA29_C20_45deg_particle2,multichannel_direct,1
"intensity,voltage,current,time_norm",4,,false,,0.8372305720913068,next_frame,convlstm,0.01080933678895235,0.03390706877664718,0.01291082426905632,0.037369581270677875,2989,0.8368797114772851,direct_next_frame,11,0.9296081648844547,0.90734409173732,test,1,GRA29_C20_45deg_particle3,multichannel_direct,1
"intensity,voltage,current,time_norm",4,,false,,0.8780905804877776,next_frame,convlstm,0.012981594540178776,0.03883386997823256,0.01478388998657465,0.04022971706140014,2989,0.8775708666825457,direct_next_frame,11,1.0099463929927093,0.9653030847560476,test,1,GRA29_C20_45deg_particle4,multichannel_direct,1
"intensity,voltage,current,time_norm",4,,false,,0.8081925969504606,next_frame,convlstm,0.008067911490797997,0.01186233892845682,0.009982659481465816,0.014005393854705325,2989,0.8078266939665537,direct_next_frame,11,0.8865036170108358,0.8469836015694401,train,1,GRA29_C20_25deg_particle1,multichannel_direct,1
"intensity,voltage,current,time_norm",4,,false,,0.8186052042590243,next_frame,convlstm,0.008937133476138115,0.013461892074702601,0.010917513631284237,0.01588178461046949,2989,0.8183047439434502,direct_next_frame,11,0.8881591558895079,0.8476309435545636,train,1,GRA29_C20_25deg_particle2,multichannel_direct,1
"intensity,voltage,current,time_norm",4,,false,,0.8160385494718069,next_frame,convlstm,0.009966541081666946,0.015115216965227246,0.012213321402668953,0.01765184870072381,2989,0.8158417419462136,direct_next_frame,11,0.8587844774923762,0.8562965398976851,train,1,GRA29_C20_25deg_particle3,multichannel_direct,1
"intensity,voltage,current,time_norm",4,,false,,0.8429344659573402,next_frame,convlstm,0.01120358519256115,0.01655056690974678,0.01329116988927126,0.018904409607165787,2989,0.8426643265734276,direct_next_frame,11,0.9047867033587956,0.87548710875759,train,1,GRA29_C20_25deg_particle4,multichannel_direct,1
"intensity,voltage,current,time_norm",4,2.5962886810302734,false,4.968923091888428,2.2812424759303824,rollout,convlstm,0.8033430576324463,1.2935827359051906,0.3521515429019928,0.7988000319188149,5672,2.2850322030731034,direct_next_frame,11,1.4770670688586511,1.619407466469233,test,1,GRA29_C20_45deg_particle1,multichannel_direct,
"intensity,voltage,current,time_norm",4,3.4527738094329834,false,2.378358840942383,1.5822485650880034,rollout,convlstm,0.6299972534179688,1.109730139825994,0.3981657922267914,0.8105121651077161,5672,1.583755666336565,direct_next_frame,11,1.2527966469446459,1.36917147897282,test,1,GRA29_C20_45deg_particle2,multichannel_direct,
"intensity,voltage,current,time_norm",4,1.9682554006576538,false,1.6513351202011108,1.7009499153716452,rollout,convlstm,0.6284692287445068,1.1766101538745724,0.36948132514953613,0.7946133401449436,5672,1.702296004855977,direct_next_frame,11,1.394741709408799,1.4807329482537377,test,1,GRA29_C20_45deg_particle3,multichannel_direct,
"intensity,voltage,current,time_norm",4,1.4616633653640747,false,1.056548833847046,2.020253141994695,rollout,convlstm,0.5945094227790833,1.1839034175851508,0.2942747175693512,0.7258944978429002,5672,2.022247390199059,direct_next_frame,11,1.5990428642297072,1.6309579713075246,test,1,GRA29_C20_45deg_particle4,multichannel_direct,
