variant,domain,n_rows,n_test,mean_test_ratio,min_test_ratio,max_test_ratio,mean_affine_ratio
sp_diffnorm_ws10,SP,8,4,1.012471122100624,1.0000016532414642,1.0452444760701158,80.58050334758968
fov_diffnorm_ws10,FOV,17,4,1.0273012448051102,1.0003361991213107,1.0575452130803589,3.2814362839730067
sp_diffnorm,SP,8,4,1.0691189748216932,1.0,1.1978436212322874,8.222360061813555
sp_ws10,SP,8,4,1.077563137848438,1.0490027814558354,1.1322473712344252,1.0884520397070283
sp_down128,SP,8,4,1.0858148610996288,0.9999998557960125,1.2980178768263146,12.117509455046543
fov_ws10,FOV,17,4,1.179160192175873,1.0091711056415196,1.4818946295382103,1.2850238389075082
sp_native,SP,8,4,1.23067258880996,1.1078608036866482,1.4620525860131388,1.2278684001153022
fov_diffnorm,FOV,17,4,1.400272646414523,1.0024744561106573,1.8902682922198013,1.399277034553375
fov_down128,FOV,17,4,1.6284313556369834,1.0000347057622716,3.513482903488013,2.346986989493307
fov_native,FOV,17,4,1.6681094047741887,1.3230728623304553,1.8189074944311066,1.5782183314529448
sp_down32,SP,8,4,6.975374272303315,0.9999959155803093,24.58426007676871,7.404800587885905
fov_down32,FOV,17,4,14.327493235082251,1.0000765163958547,54.28819013869322,15.04773140091069
