count,mean_last_step_mae_ratio,mean_mae_ratio,mean_model_mae,mean_model_rmse,mean_naive_mae,mean_naive_rmse,mean_nonreversal_mae_ratio,mean_reversal_mae_ratio,mean_rmse_ratio,mode,model_family,tag
8,,0.8133925954147834,0.009679946233518422,0.021729576232993434,0.011886089108884335,0.024205868290017023,0.8133852205043497,0.815638328934662,0.8777530188841949,next_frame,convlstm,image_only_delta
8,37.028512597084045,3.019335295085987,1.0175911784172058,1.5152754408210383,0.338276993483305,0.7837537812719471,3.0260399993598526,1.6359650912687065,1.9346743539318092,rollout,convlstm,image_only_delta
8,,0.8432860932264152,0.010034525766968727,0.022945520348905672,0.011886089108884335,0.024205868290017023,0.8433046564987727,0.8389889234413901,0.9248266678974345,next_frame,convlstm,image_only_direct
8,54.4388530254364,5.152158782422292,1.732279509305954,2.313339134176876,0.338276993483305,0.7837537812719471,5.164682956472971,2.5709113969648163,2.9522540503960597,rollout,convlstm,image_only_direct
8,,0.8105269399899,0.00964604935143143,0.021325346243119762,0.011886089108884335,0.024205868290017023,0.8103909085708839,0.8436268829006128,0.8633220388298639,next_frame,convlstm,multichannel_delta
8,11.950759954750538,1.6300721479916418,0.5476929172873497,1.101400543775495,0.338276993483305,0.7837537812719471,1.6314086455896002,1.3579836212463121,1.4074041187444128,rollout,convlstm,multichannel_delta
8,,0.8418818955512477,0.010020927991718054,0.02189542786891488,0.011886089108884335,0.024205868290017023,0.8414611075270451,0.9436148419190178,0.8915936871334038,next_frame,convlstm,multichannel_direct
8,10.536055520176888,1.9905593271085151,0.6702748462557793,1.1945384800041539,0.338276993483305,0.7837537812719471,1.9931651046912244,1.4567063763609829,1.5246274644908584,rollout,convlstm,multichannel_direct
8,,1.0434204103472657,0.010109969764016569,0.013107641046631487,0.009699796908535063,0.01253206421559423,1.0434204103472657,,1.0472011491590068,next_frame,convlstm,smoke_image_only_delta
8,2.5728603303432465,1.7461251056535037,0.018957304069772363,0.03994423399616806,0.011022972175851464,0.014344929536319988,1.7461251056535037,,2.8489866913065485,rollout,convlstm,smoke_image_only_delta
