model_family,tag,mode,n,mean_pixel_mae_ratio,mean_mean_corr,mean_mean_slope,mean_p95_corr,mean_p95_slope,mean_bright_frac90_corr,mean_bright_frac90_slope,mean_high_lithiation_p95_bias
convlstm,image_only_delta,next_frame,8,0.8463665279008562,0.9999543196408689,0.999914376924592,0.9998891192966506,0.9995144468084459,0.9996936127262037,0.9993775480405898,-0.00334716551303863
convlstm,image_only_delta,rollout,8,1.6437438148271748,-0.21005420240306816,-0.037737539308097645,0.0004170194662059777,0.013269096284878988,-0.12112246044115552,-0.031128658361423103,-1.9138522756174154
convlstm,image_only_direct,next_frame,8,0.8885431543366668,0.9999246231751221,0.9989499954576129,0.9998333228327744,0.9991625856818385,0.9996180551927757,0.996922021452832,-0.0054824693481127385
convlstm,image_only_direct,rollout,8,2.2267242122147035,0.3171896923180441,0.1549311956832404,0.2857469397777138,0.20221852944042992,0.2779072315057899,0.12631472495146337,0.10739914860893704
convlstm,multichannel_delta,next_frame,8,0.8428903190516885,0.9999535595503486,0.9995713820907428,0.9998910687801479,0.999388444361107,0.9996944583863713,0.9984834735994482,-0.003551912039518344
convlstm,multichannel_delta,rollout,8,1.4972718110888132,0.006612508859930782,0.01995312413397618,0.02852300423376114,0.17739967716054122,0.6040411083633952,0.05005070133519828,-3.7238097920728492
convlstm,multichannel_direct,next_frame,8,0.8825978328152435,0.9999505679064326,0.9987537923086895,0.9998618083724105,0.9981417484273689,0.9996820247999523,0.9930860886373873,-0.010606094205379465
convlstm,multichannel_direct,rollout,8,1.3534190353134115,0.37609416591006195,0.22609876149136313,0.3276225441233529,0.3982279676118153,0.5261350113247355,0.13403208933882527,-2.1505508240979467
convlstm,smoke_image_only_delta,next_frame,8,1.0072411668408483,0.37063651310808,0.39309861568167015,0.31364339095374066,0.33115444874608124,0.27472830195613585,0.2965164425178452,-0.004320219531655282
convlstm,smoke_image_only_delta,rollout,8,1.1822053329987567,-0.11282382278022203,-0.43471269808744173,0.19538891404334852,0.4974118068909318,0.1525554026198702,0.2878942575898287,-0.012596661224961234
convlstm_matched,matched_64x64,next_frame,4,0.9570822940695831,0.9999240154466613,0.9999566091278067,0.9997869163468193,1.0016904630117853,0.9995671985375445,1.0015401898584737,0.005555762310822813
predrnn,image_only_delta,next_frame,8,0.8409483139008838,0.9999570745010122,1.0003122517076801,0.9998868392858997,1.0001520467405873,0.9996957057467188,0.9995408461703529,-0.001672056623299896
predrnn,image_only_delta,rollout,8,1.5535667085798828,-0.3035982534352337,-0.04778945828161105,-0.37764845315050855,-0.14487768323226724,-0.1571362570479298,-0.0160212375971964,-3.9311099482016596
predrnn,image_only_direct,next_frame,8,0.9038652907931024,0.9999519660095038,0.9989813461710152,0.999884043559742,0.9996618248720359,0.9997296480457928,0.9993289334566136,-0.00573478965163228
predrnn,image_only_direct,rollout,8,3.971743386082932,0.1827504252068322,0.09002647892952545,0.1559725681203654,0.08453345347335992,0.18233837078830661,0.13598167625030666,1.1319929275630058
predrnn,multichannel_delta,next_frame,8,0.8327148920346492,0.9999540366781663,0.9994685552633955,0.9998947396154324,0.9994841229714528,0.9997158715328366,0.9979986673696282,-0.0023940394838651057
predrnn,multichannel_delta,rollout,8,4.964235950242521,0.04968465332855129,-0.5166034392406523,0.10554312682054678,-3.6613255794304207,-0.028613438684988002,0.00490984695413378,3.6006804429128203
predrnn,multichannel_direct,next_frame,8,0.8777497240969706,0.9999435875873551,0.9999595902113529,0.9998616682778734,1.0002155723665398,0.9996425026610273,1.0022724403609047,0.0011498217721780369
predrnn,multichannel_direct,rollout,8,2.4477715877059962,0.6821187090944687,1.0845406042137937,0.6094510136213069,0.7995091639223426,0.617334195523445,1.0708522115097012,1.3974363591828731
predrnn,smoke_image_only_delta,next_frame,8,0.9960958602613668,0.37103127709438116,0.3881844552324497,0.2970451459850431,0.3056716457077029,0.281577436573878,0.3014033028582682,-0.002842349931597682
predrnn,smoke_image_only_delta,rollout,8,1.0362282736696395,-0.06678483631070192,0.017062442769701185,0.01664226043112285,0.014057732817504658,-0.03849314865547386,-0.04030835598125819,-0.0012257316149770648
predrnnpp,image_only_delta,next_frame,8,0.8211427420055661,0.9999601429014484,1.0003478503520808,0.9998847602880468,1.0000304564206308,0.9997030000540863,0.9998107027882202,-0.0012448755204677465
predrnnpp,image_only_delta,rollout,8,20.439301647588486,-0.07723496376381797,-0.8442687066888535,-0.13852051060160858,-1.3708827322910864,0.21495560240722314,0.38481745234632336,19.78061377734568
predrnnpp,image_only_direct,next_frame,8,3.2607546624683525,0.999606664487297,0.9636761462012242,0.9992091924103219,0.9572716799744245,0.9801235890134592,0.8496833467130428,-0.15381724907159797
predrnnpp,image_only_direct,rollout,8,1.3325810715947735,0.04047136474447489,0.006731233256706588,0.3262982477629185,0.02027612010760271,-0.006598589364015153,0.00019790991404823924,-3.588061678353003
predrnnpp,multichannel_delta,next_frame,8,0.825095575961751,0.9999568350769472,1.0000034125217165,0.9998834192898589,1.0000623441944037,0.9997024354024832,0.9995824897349375,-0.0013851194262504349
predrnnpp,multichannel_delta,rollout,8,2.5080622695427093,0.13351779215414783,-0.04057083880914209,-0.02465599111624562,-0.27402168871421123,0.06815895405302119,0.031543266607320666,-2.1204159454617697
predrnnpp,multichannel_direct,next_frame,8,1.2720549340932976,0.9997854077697492,0.9928083738914661,0.999635536092661,0.9944367572275588,0.9987907792785544,0.970974567744251,-0.041486380352576575
