model_family,tag,mode,n,mean_pixel_mae_ratio,mean_mean_corr,mean_mean_slope,mean_p95_corr,mean_p95_slope,mean_bright_frac90_corr,mean_bright_frac90_slope,mean_high_lithiation_p95_bias
predrnnpp,multichannel_direct,rollout,8,1.4136145047518118,0.4848423293064626,0.22798997156417708,0.25518246789319476,0.23929034349454836,-0.009017482168671716,-0.002275386087878201,-2.2049191112958018
predrnnpp,smoke_image_only_delta,next_frame,8,1.0065300538131332,0.37040570061303635,0.38916299403630705,0.2843626669455759,0.2951146390182519,0.2840623837727673,0.2943658566036853,-0.002983653126284469
predrnnpp,smoke_image_only_delta,rollout,8,1.4801739829102294,-0.05072517900730969,-0.16423037512641658,0.03440031769861232,-0.191278027168856,0.08001292540298931,-0.014825345165409634,-0.0005574140697717552
residual_cnn,image_only_delta,next_frame,8,0.8582139692291302,0.9999520997031559,0.9991704283228768,0.9998788017269491,0.9990330161532679,0.9996977056722223,0.9953960965649689,-0.005676808039347335
residual_cnn,image_only_delta,rollout,8,1.3535611925104998e+16,0.14520713611863076,8461383507355799.0,-0.1816319064166113,-3925913694.0858235,0.6006901352404572,1.6858429929152896,86.4137791180449
residual_cnn,image_only_direct,next_frame,8,1.6165577607416663,0.806590999954202,1.0185984393160727,0.6486645343333024,1.0800620350259096,0.999601257155687,0.9982146887950369,0.2576214922428129
residual_cnn,image_only_direct,rollout,8,nan,nan,nan,nan,nan,0.040691441148316916,0.035749901041765696,1.0805192622375952e+26
residual_cnn,image_only_direct_stable256,next_frame,8,0.8425726252076622,0.9999186105816442,0.9996476641642456,0.99987015269117,0.9997342136593461,0.999678857258891,0.9982074501170023,-0.0026706088423728894
residual_cnn,image_only_direct_stable256,rollout,8,5.641074068959741,-0.0810462318263392,-0.9847569689397662,0.4663775503855129,10.085937275930414,0.3156229127058047,3.3380460100181444,0.05200049992999988
residual_cnn,multichannel_delta,next_frame,8,0.8635211364232418,0.9999490848923853,0.9995256136052244,0.9998763688471164,0.9994673645613839,0.9996986686732886,0.9951922592375222,-0.004809233729044601
residual_cnn,multichannel_delta,rollout,8,1.422608740284554,-0.4318487857132717,-0.1530171220622784,-0.4699131684068377,-0.16404209210759071,-0.1407147845843904,-0.00014192573612425446,-4.4507555893152695
residual_cnn,multichannel_direct,next_frame,8,8.623984769705979,0.6703118045417944,0.9843290125736774,0.5681053621852404,1.1198361786278928,0.9990886240732483,0.9979641112927358,0.8274610871573267
residual_cnn,multichannel_direct,rollout,8,nan,nan,nan,nan,nan,-0.02539264179277019,-0.001833875433630298,nan
residual_cnn,multichannel_direct_stable256,next_frame,8,0.8581087365346267,0.9999547720495525,1.0004138480145972,0.999888151082662,1.0002822213440092,0.9996601701172921,1.000305244691936,0.0016772438387076096
residual_cnn,multichannel_direct_stable256,rollout,8,12.78386002417162,-0.07055621714222271,-2.6916567535068427,-0.10169401549415036,0.3152817466914497,-0.19721885399173347,-1.7626845059627967,-0.2236536660057027
residual_cnn,smoke_image_only_delta,next_frame,8,0.9973942033256322,0.37133071227108017,0.3912522782572663,0.30708292313532703,0.3106995887540759,0.2903799209205411,0.3102578763087137,-0.0024307676125317782
residual_cnn,smoke_image_only_delta,rollout,8,1.0565261284872243,0.1120815838710946,0.3567853582625402,-0.221601658791173,-0.13127023001098817,-0.17213742847150326,-0.07152603490961619,0.002115789242088816
simvp,image_only_delta,next_frame,8,0.8582726674340657,0.9999546662895283,0.9996390809971156,0.9998766894831128,0.9995406231546203,0.9997009730895299,0.9971914987465339,-0.0040285835385322506
simvp,image_only_delta,rollout,8,nan,nan,nan,nan,nan,-0.19623983591884397,-0.028690658969642877,nan
simvp,image_only_delta_stable256,next_frame,8,0.8517454846278223,0.999950419937802,0.9999316676760066,0.9998830312305531,1.0000038980961028,0.9997046945715405,0.9997909496399664,-0.0017397492587566275
simvp,image_only_delta_stable256,rollout,8,13625046.143773243,-0.2892674786085059,8598323.672538824,0.4817907709014131,-46138492.55296545,0.34183460206313226,4.672313722117336,389515.85295038857
simvp,image_only_direct,next_frame,8,1.6623015061603612,0.8978068523983744,0.9851680695140183,0.9699844076030681,1.0024842356880823,0.9993181023948751,0.9936643951506234,0.0012956105142831638
simvp,image_only_direct,rollout,8,nan,nan,nan,nan,nan,-0.04698158400859719,-0.008630292751500028,nan
simvp,multichannel_delta,next_frame,8,0.9147383901635671,0.999942763182351,1.0005896522244804,0.9998704846165297,1.000306702199862,0.9996885555799324,1.0019848476329973,0.0010697722891966483
simvp,multichannel_delta,rollout,8,583280.4928433658,-0.19897518374990905,-68686.30661203557,-0.26682566783407746,-601441.6584281332,0.24796579525673607,0.27798895187396533,889.0977529861365
simvp,multichannel_delta_stable256,next_frame,6,0.858456203836602,0.9999382813556966,1.0000557732028748,0.9998423988468388,1.0002207441260191,0.9996148139816529,1.0000430040471844,-3.993479675714923e-05
simvp,multichannel_delta_stable256_rerun,next_frame,8,0.8900168948820961,0.9999461411099223,1.000076667506579,0.999870777426916,1.0001382109466384,0.9996990705533141,1.0001589414232952,-0.0002958476662635577
simvp,multichannel_delta_stable256_rerun,rollout,8,4108960539629.1836,0.3245740011831856,-49434228980507.94,-0.47084628364694997,-1718576430653.8374,-0.1330508533590497,-0.6813373104059177,0.0666753133572638
simvp,multichannel_direct,next_frame,8,1.3313262831133175,0.9984017041877936,0.9951360865932803,0.9996639078263928,0.9977722441465589,0.9993148133004126,0.992000772078851,-0.011749198522170358
simvp,multichannel_direct,rollout,8,nan,nan,nan,nan,nan,-0.017454241223814098,-1.2971518454398155e-05,nan
simvp,smoke_image_only_delta,next_frame,8,1.0041925492685153,0.3708451595862392,0.391957576403948,0.30430042578634153,0.3148539757137494,0.2805572078666914,0.2972223046547901,-0.0028954082867130495
simvp,smoke_image_only_delta,rollout,8,1.0907066975867954,0.11287107797124199,0.13032631885851928,0.15290509826156412,0.054524362446673295,-0.0308842340459412,0.025852238128127383,-0.0008862979710101675
unet,image_only_delta,next_frame,8,0.8243207064353955,0.9999540071463825,1.000182265102679,0.9998537989981773,1.000276474103425,0.9997259158544609,0.9990745282676088,-0.0002766601145267398
unet,image_only_delta,rollout,8,203348776.06632406,-0.1784351303267983,-49108780.7430792,-0.08389081663798813,-280454851.45550114,0.10387899268469662,0.11673890236849463,32768.29186608709
unet,image_only_direct,next_frame,8,1.2385861343593596,0.9999450810532993,0.9971469151499001,0.9998608828883417,0.9981761188591924,0.9996550073095172,0.9774127185361194,-0.01925568922956787
unet,image_only_direct,rollout,8,1.4890259516193873,-0.10822942782015858,-0.006554564234047483,-0.11726972604260107,-0.008912100099133576,nan,0.0,-4.697662009037703
unet,multichannel_delta,next_frame,8,0.8221850695057602,0.9999520607117178,1.0003692478279014,0.9998782255035303,1.0002825677561158,0.9996992865988303,1.0011099547704667,-0.0007881772001584355
unet,multichannel_delta,rollout,8,2.29268357035465,-0.5962548691224185,-0.1733746044231611,-0.11958600070925221,-0.07791693389755608,-0.15028128397842755,-0.024617305778187472,-2.429210838225837
unet,multichannel_direct,next_frame,8,1.273335056405371,0.9999305324130343,0.996871902080764,0.9998518701352485,0.9985032926811812,0.9995649463446422,0.995604898167695,-0.02800373174150781
unet,multichannel_direct,rollout,8,1.4655617512558767,0.4539841121181737,0.04609838101023986,0.2806745202867601,0.01955035050427975,nan,0.0,-4.635958023059112
unet,smoke_image_only_delta,next_frame,8,1.1397711717608585,0.37048559304146694,0.36646528994040145,0.31368105588961753,0.2967944648226195,0.310313912694881,0.3137179293321164,-0.005352880409918698
unet,smoke_image_only_delta,rollout,8,4.669160182954515,0.05265774846862098,0.6121353807655091,-0.1426338973371411,-12.505718603931566,-0.057276361560226675,-0.878799758089217,-0.0021490592509508105
