tag,stem,mode,bucket,n_steps,bright_threshold,calibration_start,calibration_stop,target_step_source,pixel_mae_ratio,corr_mean,slope_mean,corr_naive_mean,corr_p95,slope_p95,corr_naive_p95,corr_bright_frac90,slope_bright_frac90,corr_naive_bright_frac90
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,next_frame,all,3000,0.53857421875,0,4,target_steps,0.794059693813324,0.9999980464732539,0.9999916677929785,0.9999971320208509,0.9999950524690655,0.9995650466711262,0.9999920182767296,0.9999893935000643,0.9985977599475889,0.9999895009577281
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,next_frame,all,3000,0.65234375,0,4,target_steps,0.7989741563796997,0.9999958090913459,1.0002249059460613,0.9999914006323228,0.9999850329040508,0.9995250855646797,0.999971014709949,0.9999813307349611,0.9990791812564657,0.9999701944081756
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,next_frame,all,3000,0.751953125,0,4,target_steps,0.8021669983863831,0.9999954317371152,0.9999884489607692,0.999992088487572,0.9999904140717435,0.9993758891224549,0.9999852791896269,0.999988537703017,1.0006009377766951,0.9999710484527436
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,next_frame,all,3000,1.083984375,0,4,target_steps,0.8301011919975281,0.9999881867030719,0.9999794749521749,0.9999809784259559,0.9999754592885587,0.9995204271626058,0.9999632665967104,0.9999582513797677,0.9996232919381148,0.999932770201435
convlstm_multichannel_delta,GRA29_C20_45deg_particle1,next_frame,all,3000,0.52294921875,0,4,target_steps,0.8350529074668884,0.9999950438919085,1.000308251374734,0.9999923763267862,0.9999842245316595,0.9991906388151285,0.9999762832844239,0.999983174284569,0.998355349964832,0.9999857109071019
convlstm_multichannel_delta,GRA29_C20_45deg_particle2,next_frame,all,3000,0.417724609375,0,4,target_steps,0.9314836859703064,0.9999758643456222,1.0001971175226358,0.9999688191591526,0.9999203733130871,1.0003259745035253,0.9999221397659214,0.9999460943041468,0.9993032945237093,0.9999492261141468
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,next_frame,all,3000,0.8026855468750007,0,4,target_steps,0.8188939094543457,0.9999867828864659,1.0003181819464375,0.9999794776298374,0.9999797043740181,0.999626966662949,0.9999746506361192,0.999958918957994,1.0004492894283734,0.9999308359547929
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,next_frame,all,3000,1.203125,0,4,target_steps,0.8422413468360901,0.9996014509210119,1.0001948680788009,0.9995087845105449,0.9992663924494614,0.9997504978137471,0.9991510932904322,0.999850013455375,0.9997171306147542,0.9997775798897593
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,rollout,0-32,32,0.53857421875,0,4,target_steps,1.2964211702346802,-0.5433401022720981,-0.04113703459327525,nan,0.4081792554757799,0.024809250684458613,nan,-0.3455610991082672,-0.03338610962194795,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,rollout,32-128,96,0.53857421875,0,4,target_steps,2.4190828800201416,-0.8770970328127661,-0.06160148779779357,nan,-0.8053531754075723,-0.052537597343591445,nan,-0.7324252074437613,-0.31861228532473074,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,rollout,128-256,128,0.53857421875,0,4,target_steps,2.6490681171417236,-0.9558050916915128,-0.4031797151294201,nan,-0.9358530805086962,-0.346580482867379,nan,0.9271326834808351,1.995916488287434,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,rollout,256-512,256,0.53857421875,0,4,target_steps,4.009182453155518,0.9693111024714087,0.2647763593275954,nan,-0.9420485524701455,-0.14423573874538897,nan,-0.9129528487007655,-1.5821708919904918,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,rollout,0-32,32,0.65234375,0,4,target_steps,1.096394658088684,-0.14350484762666257,-0.009939187215571143,nan,0.263901884919393,0.03426597864261706,nan,-0.3997608159937711,-0.07754298644855818,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,rollout,32-128,96,0.65234375,0,4,target_steps,2.0670173168182373,-0.3383979361134612,-0.012765752536292798,nan,0.7374440742127166,0.06511391155844078,nan,-0.351459287190931,-0.11905458067958373,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,rollout,128-256,128,0.65234375,0,4,target_steps,2.1232070922851562,-0.9581948273627481,-0.22324881513459705,nan,0.7983728976499121,0.10675068903001655,nan,0.6211233350918444,1.3871036172897384,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,rollout,256-512,256,0.65234375,0,4,target_steps,2.258906602859497,0.8331145793669236,0.15433975035052164,nan,0.8539373560725702,0.10410048678159667,nan,0.6327018325354612,11.620318287027244,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,rollout,0-32,32,0.751953125,0,4,target_steps,0.989829421043396,-0.5187812684959576,-0.058578569411233794,nan,0.33826774996603104,0.060526840846956996,nan,0.1813160282201978,0.02843872229465389,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,rollout,32-128,96,0.751953125,0,4,target_steps,2.150082588195801,-0.859357346354462,-0.10180291724669263,nan,0.6561807057843527,0.08346159860395197,nan,-0.2124950799014369,-0.025338107122539158,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,rollout,128-256,128,0.751953125,0,4,target_steps,2.576486587524414,-0.896264798525474,-0.7176883743661789,nan,0.8648854630415159,0.19602963234905912,nan,-0.7976438452133447,-0.5119702680804518,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,rollout,256-512,256,0.751953125,0,4,target_steps,2.8177242279052734,0.9944359489940524,0.2384660730773937,nan,0.9542436176329854,0.23099248558065855,nan,0.9282544297173138,1.6136688376961166,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,rollout,0-32,32,1.083984375,0,4,target_steps,0.9619974493980408,-0.7666631955347587,-0.16258905744781102,nan,-0.03248811242250199,-0.020279442527368744,nan,-0.20362885449418835,-0.09912247498461386,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,rollout,32-128,96,1.083984375,0,4,target_steps,1.7316397428512573,-0.7338323601488288,-0.11699994219480966,nan,0.7618326632285477,0.5133456800878359,nan,0.39118988847255515,0.21249555980057713,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,rollout,128-256,128,1.083984375,0,4,target_steps,1.726697325706482,0.725582141098573,0.6050801337656779,nan,0.9412596862119199,1.3910381382914936,nan,0.783163326553485,0.8644663962164936,nan
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,rollout,256-512,256,1.083984375,0,4,target_steps,1.5805426836013794,0.8927114357133981,0.2947689432025157,nan,0.9449186005153865,0.6024976193805488,nan,0.9563931664061498,0.991122457868939,nan
