tag,stem,mode,observable,phase,n_steps,slope_true_per_s,slope_pred_per_s,slope_naive_per_s
convlstm_multichannel_delta,GRA29_C20_45deg_particle2,next_frame,p95,negative_current,2794,4.519211695718556e-05,4.5180393105043184e-05,4.5173260052337496e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle2,next_frame,bright_frac90,positive_current,130,-5.023099683722474e-08,2.8074073735556785e-07,-6.134119933919376e-08
convlstm_multichannel_delta,GRA29_C20_45deg_particle2,next_frame,bright_frac90,negative_current,2794,1.041765600354639e-05,1.0433554894798968e-05,1.0416921935595369e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,next_frame,mean,positive_current,130,-2.3755506530076087e-06,-8.484783614622786e-07,-2.389822566839469e-06
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,next_frame,mean,negative_current,2794,3.282283795937386e-05,3.280544216524703e-05,3.280711064274803e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,next_frame,p95,positive_current,130,1.6564618447392059e-06,-8.998425228059242e-07,1.6092501421312558e-06
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,next_frame,p95,negative_current,2794,6.955119729271142e-05,6.956998120633509e-05,6.952166505557348e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,next_frame,bright_frac90,positive_current,130,-9.42358073083201e-07,-1.5421597754597801e-07,-9.311183800032299e-07
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,next_frame,bright_frac90,negative_current,2794,1.105844520051928e-05,1.1051477189449066e-05,1.1054935330370819e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,next_frame,mean,positive_current,130,-1.1764593538342311e-05,-1.0037697334344683e-05,-1.1900953391613548e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,next_frame,mean,negative_current,2794,3.162726271033146e-05,3.160337499514572e-05,3.160682435870868e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,next_frame,p95,positive_current,130,-2.7804316708432016e-05,-2.635816912088117e-05,-2.8402472302609942e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,next_frame,p95,negative_current,2794,7.124461229184384e-05,7.12097380536473e-05,7.120125444949397e-05
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,next_frame,bright_frac90,positive_current,130,-7.468720029481563e-07,-5.992959773620028e-07,-7.459017276879111e-07
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,next_frame,bright_frac90,negative_current,2794,8.233505063815039e-06,8.237880837182459e-06,8.230248866244606e-06
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,rollout,mean,negative_current,512,3.65409893384446e-07,-9.556801432065927e-06,2.325048961131679e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,rollout,p95,negative_current,512,7.310052861062411e-07,-1.5132744811178867e-06,-6.20013056301781e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle1,rollout,bright_frac90,negative_current,512,8.139019526070584e-07,1.4009957964407083e-06,-6.642997031804797e-21
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,rollout,mean,negative_current,512,2.354665671830219e-07,-1.2925345286461587e-05,3.321498515902399e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,rollout,p95,negative_current,512,-2.4730645900888798e-06,-3.0445368629115697e-05,5.3143976254438374e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle2,rollout,bright_frac90,negative_current,512,-3.70128145446711e-06,-2.840781634237781e-06,4.428664687869865e-21
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,rollout,mean,negative_current,512,-4.3222710213227454e-07,-6.730169539894941e-06,1.5500326407544526e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,rollout,p95,negative_current,512,-4.6809114227357486e-06,-2.7441272550379662e-05,1.771465875147946e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle3,rollout,bright_frac90,negative_current,512,-5.566149357576111e-07,-3.7804010190197908e-06,1.3285994063609593e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,rollout,mean,negative_current,512,-3.2073128809047886e-06,-8.185885569304408e-06,4.650097922263358e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,rollout,p95,negative_current,512,-1.3223871864359145e-05,-1.5147895341946356e-05,-7.085863500591784e-20
convlstm_multichannel_delta,GRA29_C20_25deg_particle4,rollout,bright_frac90,negative_current,512,-6.284922566272294e-06,-7.289456925111488e-06,-2.2143323439349326e-21
convlstm_multichannel_delta,GRA29_C20_45deg_particle1,rollout,mean,negative_current,487,-4.724146973201428e-07,-8.62431059045987e-06,0.0
convlstm_multichannel_delta,GRA29_C20_45deg_particle1,rollout,p95,negative_current,487,-9.373561589182794e-07,-2.018674716592777e-06,1.9090354101516748e-20
convlstm_multichannel_delta,GRA29_C20_45deg_particle1,rollout,bright_frac90,negative_current,487,-1.0704233749227548e-06,1.6000720450457672e-06,7.158882788068782e-21
convlstm_multichannel_delta,GRA29_C20_45deg_particle2,rollout,mean,negative_current,487,-2.2971232605601453e-07,-4.493009510604913e-06,-1.2528044879120367e-20
convlstm_multichannel_delta,GRA29_C20_45deg_particle2,rollout,p95,negative_current,487,-1.0304791328802411e-06,-1.8955337975464178e-05,-6.681623935530863e-20
convlstm_multichannel_delta,GRA29_C20_45deg_particle2,rollout,bright_frac90,negative_current,487,-1.6286107522346768e-06,-5.793104061188549e-07,-5.965735656723984e-21
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,rollout,mean,negative_current,487,-1.417449923544496e-06,-6.202337977594552e-06,-1.4317765576137564e-20
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,rollout,p95,negative_current,487,-2.818570080096275e-06,-2.6902911735521276e-05,-9.545177050758374e-21
convlstm_multichannel_delta,GRA29_C20_45deg_particle3,rollout,bright_frac90,negative_current,487,-1.3700851080559205e-06,-3.1153976840305316e-06,0.0
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,rollout,mean,negative_current,487,-9.172341527055241e-07,-5.9886184569318774e-06,2.3862942626895936e-20
convlstm_multichannel_delta,GRA29_C20_45deg_particle4,rollout,p95,negative_current,487,-5.803967104964865e-06,-1.687863219624746e-05,1.622680098628924e-19
